Treatment,Outcome,N,N_Treated,N_Control,ps_min,ps_max,ps_mean,ps_auc,ps_brier,prevalence_treated,clip_01_99_ps_min_t,clip_01_99_ps_max_t,clip_01_99_ps_min_c,clip_01_99_ps_max_c,clip_01_99_w_mean,clip_01_99_w_median,clip_01_99_w_p95,clip_01_99_w_p99,clip_01_99_w_max,clip_01_99_ess_t,clip_01_99_ess_c,clip_005_995_ps_min_t,clip_005_995_ps_max_t,clip_005_995_ps_min_c,clip_005_995_ps_max_c,clip_005_995_w_mean,clip_005_995_w_median,clip_005_995_w_p95,clip_005_995_w_p99,clip_005_995_w_max,clip_005_995_ess_t,clip_005_995_ess_c,clip_02_98_ps_min_t,clip_02_98_ps_max_t,clip_02_98_ps_min_c,clip_02_98_ps_max_c,clip_02_98_w_mean,clip_02_98_w_median,clip_02_98_w_p95,clip_02_98_w_p99,clip_02_98_w_max,clip_02_98_ess_t,clip_02_98_ess_c
sp5_irr_county_value,mo14_ai_automate_routine_tasks_pct,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
sp5_irr_county_value,mo15_ai_optimize_workflows_pct,3131,1511,1620,0.01,0.99,0.4860569504882831,0.9849866411745962,0.046795474184068576,0.4825934206323858,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.01,0.99,0.01,0.99,1.4743031298711642,1.0125277041027856,2.2171231292620757,6.142910763729411,100.0,278.0242635442199,139.67328435991533,0.02,0.98,0.02,0.98,1.404399851146025,1.0204081632653061,2.2171231292620757,6.142910763729411,50.0,511.6266777611029,289.1026495787241
mo2_robotics_composite_score,dv15_preventable_stays_rate,3064,936,2128,0.01,0.99,0.3088480007730369,0.885989513045434,0.12000452594274123,0.30548302872062666,0.0221756935469367,0.99,0.01,0.9575478580785273,1.843301241085615,1.1704922648652896,4.618916059355563,13.041572748818831,45.09441825949735,321.87100202143984,1335.6187232260816,0.0221756935469367,0.99,0.01,0.9575478580785273,1.843301241085615,1.1704922648652896,4.618916059355563,13.041572748818831,45.09441825949735,321.87100202143984,1335.6187232260816,0.0221756935469367,0.98,0.02,0.9575478580785273,1.844035323517865,1.1704922648652896,4.618916059355563,13.041572748818831,45.09441825949735,321.943126251838,1336.5505044522454
mo21_robotics_in_hospital_pct,dv15_preventable_stays_rate,3064,773,2291,0.01,0.99,0.255903368404814,0.9069507036646577,0.0984107884566029,0.2522845953002611,0.014990909605851227,0.99,0.01,0.9385332045469841,1.8014768740806517,1.106051126390632,4.530876286454363,12.294714567186974,66.70709291780945,180.86059229923518,1625.9466840039,0.014990909605851227,0.99,0.01,0.9385332045469841,1.8014768740806517,1.106051126390632,4.530876286454363,12.294714567186974,66.70709291780945,180.86059229923518,1625.9466840039,0.02,0.98,0.02,0.9385332045469841,1.7860180270792136,1.106051126390632,4.530876286454363,12.294714567186974,50.0,207.219396173743,1627.7603609121543
mo1_genai_composite_score,dv21_premature_death_ypll_rate,2898,567,2331,0.01,0.9719777102262855,0.1991205561173642,0.847218344572842,0.10686549009585743,0.1956521739130435,0.014324672253491901,0.9719777102262855,0.01,0.9391747068081119,1.8933177954942217,1.1323475932696754,5.470378697722364,16.4469735006295,69.80962512117732,208.4969961853277,1900.1590303266614,0.014324672253491901,0.9719777102262855,0.01,0.9391747068081119,1.8933177954942217,1.1323475932696754,5.470378697722364,16.4469735006295,69.80962512117732,208.4969961853277,1900.1590303266614,0.02,0.9719777102262855,0.02,0.9391747068081119,1.886756536580888,1.1323475932696754,5.470378697722364,16.4469735006295,50.0,221.43073819237748,1900.5038866748394
mo11_ai_staff_scheduling_pct,dv21_premature_death_ypll_rate,2898,297,2601,0.01,0.9490441869022311,0.10599803440707294,0.8444524703655807,0.07081945054905221,0.10248447204968944,0.011542659961161487,0.9490441869022311,0.01,0.8967913435856781,1.8259009677142517,1.0568376786164841,4.053112404836434,20.022373155058894,86.63514331746583,109.50430277620748,2457.860123337584,0.011542659961161487,0.9490441869022311,0.01,0.8967913435856781,1.8259009677142517,1.0568376786164841,4.053112404836434,20.022373155058894,86.63514331746583,109.50430277620748,2457.860123337584,0.02,0.9490441869022311,0.02,0.8967913435856781,1.8074194590833639,1.0568376786164841,4.053112404836434,20.022373155058894,50.0,121.10764319603453,2458.5741567125656
mo12_ai_predict_staff_needs_pct,dv21_premature_death_ypll_rate,2898,317,2581,0.01,0.9641408002307195,0.11297400642555919,0.8577654957301415,0.07100238273638683,0.10938578329882678,0.012780185868821061,0.9641408002307195,0.01,0.82446668049609,1.8115895204210661,1.0565166531481691,3.9433972010342577,19.52671266199349,78.24612335565722,109.70555898687533,2445.012322531927,0.012780185868821061,0.9641408002307195,0.01,0.82446668049609,1.8115895204210661,1.0565166531481691,3.9433972010342577,19.52671266199349,78.24612335565722,109.70555898687533,2445.012322531927,0.02,0.9641408002307195,0.02,0.82446668049609,1.7958296480458358,1.0565166531481691,3.9433972010342577,19.52671266199349,50.0,119.22023590722726,2445.934888231357
mo13_ai_predict_patient_demand_pct,dv21_premature_death_ypll_rate,2898,335,2563,0.01,0.9664117333412965,0.11920049612748011,0.8640859300842645,0.07387181351882481,0.11559696342305038,0.01,0.9664117333412965,0.01,0.8420931127422404,1.7777545516476354,1.0593112256373547,4.127636904376261,16.98508498556868,100.0,114.51886552164831,2401.337859664611,0.01,0.9664117333412965,0.01,0.8420931127422404,1.7777545516476354,1.0593112256373547,4.127636904376261,16.98508498556868,100.0,114.51886552164831,2401.337859664611,0.02,0.9664117333412965,0.02,0.8420931127422404,1.7616244371134044,1.0593112256373547,4.127636904376261,16.98508498556868,50.0,131.88763590590744,2402.361265986711
mo14_ai_automate_routine_tasks_pct,dv21_premature_death_ypll_rate,2898,414,2484,0.01,0.9592595188760823,0.1463858864254849,0.865477218449283,0.08606028811478647,0.14285714285714285,0.012412637020170219,0.9592595188760823,0.01,0.9199166149006799,1.8049692791482912,1.0805719172759427,4.60652553453685,14.257742880603281,80.56305830703222,134.06373466485246,2202.530675178826,0.012412637020170219,0.9592595188760823,0.01,0.9199166149006799,1.8049692791482912,1.0805719172759427,4.60652553453685,14.257742880603281,80.56305830703222,134.06373466485246,2202.530675178826,0.02,0.9592595188760823,0.02,0.9199166149006799,1.7906701806456813,1.0805719172759427,4.60652553453685,14.257742880603281,50.0,148.93757266303044,2203.4645815436993
mo15_ai_optimize_workflows_pct,dv21_premature_death_ypll_rate,2898,450,2448,0.01,0.9649530709707322,0.1587577331421959,0.8558392338416849,0.09182107742537561,0.15527950310559005,0.01,0.9649530709707322,0.01,0.918523207149648,1.8594758427673965,1.093739963486588,4.795422251468526,15.82557763940962,100.0,138.67445807687457,2148.61334803954,0.01,0.9649530709707322,0.01,0.918523207149648,1.8594758427673965,1.093739963486588,4.795422251468526,15.82557763940962,100.0,138.67445807687457,2148.61334803954,0.02,0.9649530709707322,0.02,0.918523207149648,1.8376432601409718,1.093739963486588,4.795422251468526,15.82557763940962,50.0,165.42955877153113,2149.1788625976533
mo2_robotics_composite_score,dv21_premature_death_ypll_rate,2898,936,1962,0.01,0.99,0.32641996756044944,0.8781724561541074,0.12627724754343156,0.32298136645962733,0.029920542673070885,0.99,0.01,0.9586368100131553,1.8687857738604974,1.1903069363116838,4.817473282099355,13.118008117142326,33.42185370521441,352.5131805495122,1201.933385760816,0.029920542673070885,0.99,0.01,0.9586368100131553,1.8687857738604974,1.1903069363116838,4.817473282099355,13.118008117142326,33.42185370521441,352.5131805495122,1201.933385760816,0.029920542673070885,0.98,0.02,0.9586368100131553,1.8691374413603872,1.1903069363116838,4.817473282099355,13.118008117142326,33.42185370521441,352.59469845516026,1202.2569214827834
mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate,2898,773,2125,0.01,0.99,0.27029463611951227,0.901037668366182,0.10349207336425201,0.266735679779158,0.014671440288071883,0.99,0.01,0.9357918543929062,1.8310413863757178,1.1185509869007164,4.722248938056102,13.832514491188123,68.15963398038133,192.93277931431325,1488.7037538063503,0.014671440288071883,0.99,0.01,0.9357918543929062,1.8310413863757178,1.1185509869007164,4.722248938056102,13.832514491188123,68.15963398038133,192.93277931431325,1488.7037538063503,0.02,0.98,0.02,0.9357918543929062,1.8226084968671339,1.1185509869007164,4.722248938056102,13.832514491188123,50.0,208.3628428911783,1489.7904313788808
mo1_genai_composite_score,ct5_ypll_per_100k_mid,2896,567,2329,0.01,0.9720115561645738,0.19925710928250384,0.8470985041759337,0.10693062427936706,0.19578729281767956,0.014330698944423926,0.9720115561645738,0.01,0.9393342269887948,1.893707440938334,1.13264557023128,5.485835056521282,16.492304966271835,69.78026709500446,208.5871111919383,1897.93340014474,0.014330698944423926,0.9720115561645738,0.01,0.9393342269887948,1.893707440938334,1.13264557023128,5.485835056521282,16.492304966271835,69.78026709500446,208.5871111919383,1897.93340014474,0.02,0.9720115561645738,0.02,0.9393342269887948,1.8871495870560564,1.13264557023128,5.485835056521282,16.492304966271835,50.0,221.51631895698154,1898.2756512439487
mo11_ai_staff_scheduling_pct,ct5_ypll_per_100k_mid,2896,297,2599,0.01,0.9489736224376139,0.10607093966438166,0.8443366588807142,0.07086238018278194,0.10255524861878453,0.011552165433066145,0.9489736224376139,0.01,0.8967684682177367,1.8263576407173239,1.0570673482180926,4.058015345418701,20.060090525975806,86.56385729533157,109.4835920448209,2455.9854615663703,0.011552165433066145,0.9489736224376139,0.01,0.8967684682177367,1.8263576407173239,1.0570673482180926,4.058015345418701,20.060090525975806,86.56385729533157,109.4835920448209,2455.9854615663703,0.02,0.9489736224376139,0.02,0.8967684682177367,1.8078691438688854,1.0570673482180926,4.058015345418701,20.060090525975806,50.0,121.07471347116162,2456.6963603430704
mo12_ai_predict_staff_needs_pct,ct5_ypll_per_100k_mid,2896,317,2579,0.01,0.9640575003103073,0.1130513768985248,0.8576808803940589,0.07104140995126841,0.10946132596685083,0.012731228098627274,0.9640575003103073,0.01,0.8244340453851899,1.8120558907473674,1.0565523175003024,3.935674054602873,19.51938484887118,78.54701779381547,109.61347324100123,2443.1768169346574,0.012731228098627274,0.9640575003103073,0.01,0.8244340453851899,1.8120558907473674,1.0565523175003024,3.935674054602873,19.51938484887118,78.54701779381547,109.61347324100123,2443.1768169346574,0.02,0.9640575003103073,0.02,0.8244340453851899,1.7961398290670152,1.0565523175003024,3.935674054602873,19.51938484887118,50.0,119.2278478247617,2444.0965215594433
mo13_ai_predict_patient_demand_pct,ct5_ypll_per_100k_mid,2896,335,2561,0.01,0.9663816194274063,0.11928177494493536,0.8639891133943713,0.07391477107411064,0.1156767955801105,0.01,0.9663816194274063,0.01,0.842164872340065,1.777822117905369,1.0594076354237636,4.1380290426783795,16.96364569823848,100.0,114.59371179329348,2399.468998154117,0.01,0.9663816194274063,0.01,0.842164872340065,1.777822117905369,1.0594076354237636,4.1380290426783795,16.96364569823848,100.0,114.59371179329348,2399.468998154117,0.02,0.9663816194274063,0.02,0.842164872340065,1.7616824724712048,1.0594076354237636,4.1380290426783795,16.96364569823848,50.0,132.01588953042614,2400.49009984176
mo14_ai_automate_routine_tasks_pct,ct5_ypll_per_100k_mid,2896,414,2482,0.01,0.9592525737683768,0.14648673677217322,0.865370766134526,0.08611940880596743,0.14295580110497239,0.01241575514861435,0.9592525737683768,0.01,0.9198638096191005,1.805325298420844,1.0807890266500704,4.609279901497494,14.276210230682459,80.54282546894493,134.1014135512059,2200.8051129974306,0.01241575514861435,0.9592525737683768,0.01,0.9198638096191005,1.805325298420844,1.0807890266500704,4.609279901497494,14.276210230682459,80.54282546894493,134.1014135512059,2200.8051129974306,0.02,0.9592525737683768,0.02,0.9198638096191005,1.791032156660135,1.0807890266500704,4.609279901497494,14.276210230682459,50.0,148.97302872023312,2201.7351188854273
