Observed_Prevalence,Sensitivity,Specificity,Latent_Prevalence,Posterior_T1_if_Obs1,Posterior_T1_if_Obs0,N,Successful_Draws,ATE_Median,ATE_P2_5,ATE_P97_5,Label,Treatment,Outcome
0.2669198895027624,0.85,0.95,0.2711498618784531,0.8634702457956017,0.05548162976919455,2896,200,11.81733956708353,-7.759637489460709,55.91638332781154,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
0.2669198895027624,0.9,0.9,0.20864986187845297,0.7035252263906855,0.02846208195949127,2896,200,-1.4224038654324416,-20.468883181666314,39.76665404015095,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
0.2669198895027624,0.9,0.95,0.2551998700032499,0.8604824594779698,0.03481200299243578,2896,200,6.394021760658921,-12.163282057164112,57.089646448818776,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
0.2669198895027624,0.95,0.95,0.24102209944751382,0.8578266494178526,0.016439001413094696,2896,200,-3.4181997521594987,-21.171514222998937,30.34500361566929,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
0.2669198895027624,0.95,0.98,0.2655052575298521,0.9449651546133624,0.018108884262987575,2896,200,1.20476643953651,-18.118938299163343,35.57099217747735,MO21→CT6,mo21_robotics_in_hospital_pct,ct6_hospital_deaths_age_adj
0.266735679779158,0.8,0.95,0.28898090637221063,0.8667184131090986,0.0788203921568627,2898,200,-23.206025134214304,-289.13898986502954,384.7911896680854,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
0.266735679779158,0.85,0.95,0.2709195997239475,0.8633327943078913,0.05542058823529412,2898,200,-53.15047612188162,-367.42822319691396,565.8254305439552,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
0.266735679779158,0.9,0.9,0.2084195997239474,0.7032341526520047,0.02842352941176468,2898,200,-160.64607370045943,-406.70738863116304,420.4597408757522,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
0.266735679779158,0.9,0.95,0.2549831526813623,0.8603454836009433,0.0347737024221453,2898,200,-105.52901110547144,-397.25695313412217,391.84056273881225,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
0.266735679779158,0.95,0.95,0.24081742197684222,0.8576900963058789,0.01642091503267975,2898,200,-249.59733937934982,-487.6009206122307,180.95449496801984,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
0.266735679779158,0.95,0.98,0.26530718255823443,0.9449122953442113,0.01809082858950033,2898,200,-195.63330205569326,-520.6460887086361,614.1055392604404,MO21→DV21,mo21_robotics_in_hospital_pct,dv21_premature_death_ypll_rate
